date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-20 19:14:55,SandroNascimm,,1,0,2,"Agora é assim. A pessoa assiste o programa que o colega deu a nota em 1º mão e faz a nota como se o furo da notícia fosse dela. O crédito depende se o profissional é amigo pessoal, se não for, nem pensar. Honestamente, acho que devemos ser éticos.",,,,1230571550199382019,https://twitter.com/SandroNascimm/status/1230571550199382019
2020-02-20 19:11:09,Jose42375002,RoseDBarros,0,0,1,"Na realidade , para mim, foram três . Deu FURO a maracutaia que tentou aprontar....",,,,1230570601783480321,https://twitter.com/Jose42375002/status/1230570601783480321
2020-02-20 19:02:33,PinheiroNathana,,0,0,0,"O segundo furo da minha orelha esquerda deu merda. Tive que tirar o brinco e tá uma bola de sangue e pele na orelha",,,,1230568437748908033,https://twitter.com/PinheiroNathana/status/1230568437748908033
2020-02-20 18:52:06,FilipeS50086155,Biakicis,0,0,0,"E aí Bia, já deu um FURINHO nessa tarde?? Como que estão os furos aí??? Aguentam o trampo mesmo? Aguenta meia hora de furo sensacional? Fala aí pra gente, Bia. Cê Quica? Quica gostoso mesmo? Tipo Kicis?",,,,1230565809098870784,https://twitter.com/FilipeS50086155/status/1230565809098870784
2020-02-20 18:51:39,RivadaviaRosa,JulianLemosopb1,0,0,0,"Plantou fake. Deu furo",,,,1230565697098403843,https://twitter.com/RivadaviaRosa/status/1230565697098403843
2020-02-20 18:50:46,HB201554,taoquei1,0,0,0,"A Globolixo já deu o furo! Ciro baleado e na UTI, #SomosTodosBolsonaro",,,#SomosTodosBolsonaro,1230565475920183296,https://twitter.com/HB201554/status/1230565475920183296
2020-02-20 18:49:54,francis77921954,BolsonaroSP,0,0,0,"O CARA QUE ATIROU ERROU,COMO A QUADRILHA PETISTA DISSERAM QUANDO HOUVE ATENTADO A VIDA DO NOSSO PRESIDENTE,O CID DEU SORTE E O CARA ERA RUIM DE TIRO,ATIRAR NA CLAVÍCULA,PULMÃO,ERA PRA ATIRAR NO FURO COMO A REPÓRTER,NÃO É CRIME ATIRAR NO LOCAL QUE JÁ É FURADO.",,,,1230565254221877250,https://twitter.com/francis77921954/status/1230565254221877250
2020-02-20 18:29:10,solangegoesmot1,NatuzaNery,0,0,1,"Pois é . Sua amiga @camposmello foi ansiosamente atrás do Furo para sacanear o Presidente e se deu mal . Desmentiram a moça na CPMI da fake news . Por estas e por outras vcs não representam a mulher brasileira . Não são exemplos a serem seguidos . #PatriciaNaCPMI",,@camposmello,#PatriciaNaCPMI,1230560036348293121,https://twitter.com/solangegoesmot1/status/1230560036348293121
2020-02-20 18:18:33,WalterC45230671,cdantas5,0,1,1,"Essa jornaleca também deu o seu ""furo"" !!! kkkkkkkkkkkkkk ",,,,1230557365084098561,https://twitter.com/WalterC45230671/status/1230557365084098561
2020-02-20 18:11:19,arvdatt,veramagalhaes,0,0,0,"E aí Verinha, já deu seu furo hoje?",,,,1230555545943175169,https://twitter.com/arvdatt/status/1230555545943175169
2020-02-20 18:09:53,RobsonMarcosFe1,mariosabinof,0,0,0,"Aquela que já deu o furo várias vezes em muitas ocasiões???",,,,1230555183496589314,https://twitter.com/RobsonMarcosFe1/status/1230555183496589314
2020-02-20 18:04:35,muri_martinelli,benebarbosa_mvb,0,0,0,"Ela deu um furo Bene,mais respeito. ",,,,1230553850764877825,https://twitter.com/muri_martinelli/status/1230553850764877825
2020-02-20 18:00:15,demiagb,,0,0,0,"As artistas hipócritas querendo falar em respeito por que o presidente se referiu a uma jornalista militante,no caso ela quis fazer um furo,ela quis dá um furo de reportagem,quem não se deu o respeito foi a tal repórter,presidente não falou nada demais,comparado ao ex presidente",,,,1230552760522657793,https://twitter.com/demiagb/status/1230552760522657793
2020-02-20 17:56:54,Simonycorredora,RenovaMidia,0,0,0,"""Ela deu o furo!"" Foi isso que você falou. IDIOTA",,,,1230551916146388994,https://twitter.com/Simonycorredora/status/1230551916146388994
2020-02-20 17:53:16,carlos_ligori,ZeGeraldo1436,0,0,0,"acho que foi para saber quem deu o furo para a jornalista, @jairbolsonaro @pauIoguedes @BolsonaroSP ou @CarlosBolsonaro hehe",,@jairbolsonaro @pauIoguedes @BolsonaroSP @CarlosBolsonaro,,1230551002387865600,https://twitter.com/carlos_ligori/status/1230551002387865600
2020-02-20 17:49:58,carlos_ligori,danielPMERJ,0,0,0,"mas afinal quem deu o furo para Jornalista? Bolsonaro General Holeno, Eduardo, Carlos ou Paulo Guedes? ",,,,1230550174323183616,https://twitter.com/carlos_ligori/status/1230550174323183616
2020-02-20 17:47:17,RogeroSantos3,camposmello,0,0,0,"Vc deu o furo agora lute !! Ngm escapa da vdd.",,,,1230549497362563073,https://twitter.com/RogeroSantos3/status/1230549497362563073
2020-02-20 17:45:01,lussales3,jairbolsonaro,0,0,0,"Democracia e bolsonaro não combinam..... ja deu seu furo?",,,,1230548926048153601,https://twitter.com/lussales3/status/1230548926048153601
2020-02-20 17:41:35,geralda_sonia,augustosnunes,0,0,0,"Uai augusto nunes te admiro muito,mas esse comentário seu deu furo,agora ñ entendi esse furo seu.",,,,1230548061832740864,https://twitter.com/geralda_sonia/status/1230548061832740864
2020-02-20 17:36:27,NeponucenoDavid,RevistaCrusoe,0,0,0,"Adriano não, policial!! OUtro jornaleco burro que ja deu o furo bem antes para conhece-lo ! ",,,,1230546773724278785,https://twitter.com/NeponucenoDavid/status/1230546773724278785
2020-02-20 17:29:26,JosephSantos17,veramagalhaes,0,0,0,"Baixa, você é. Nojenta, acho que sim. Só não sei quantas vezes você já deu o furo.",,,,1230545004554313728,https://twitter.com/JosephSantos17/status/1230545004554313728
2020-02-20 17:27:17,SidneyM51820914,andreiarosaaro,1,0,0,"Ué ? Glenn não dá ""furo"" de reportagem? Não deu o ""furo"" sobre a vaza-jato? kkkk Patrícia Campos Mello não deu o ""furo"" de reportagem sobre os disparos em massa no whatsapp? Quem interpretou com outro sentido foi vc. Acho que não sou eu quem precisa de psicólogo. kkk",,,,1230544466282459137,https://twitter.com/SidneyM51820914/status/1230544466282459137
2020-02-20 17:25:44,SandraVLima,,0,0,0,"Alguém sabe informar se foi a jornalista do ""Rolha de SP quem deu o furo sobre a confusão do Cid Gomes?",,,,1230544074685501440,https://twitter.com/SandraVLima/status/1230544074685501440
2020-02-20 17:18:59,DraElianeSantos,veramagalhaes,0,0,0,"Deu foi um martelo, uma foice e o caminho para o furo.",,,,1230542377502302209,https://twitter.com/DraElianeSantos/status/1230542377502302209
2020-02-20 17:17:16,Jcs_pinto,ColunadoFla,0,0,0,"Acho que esse jornalista não deu o furo direito!! ",,,,1230541942246793216,https://twitter.com/Jcs_pinto/status/1230541942246793216
2020-02-20 17:10:01,giseledapiedade,roxmo,0,0,0,"Inclusive o porteiro confirmou tudo e a jornalista da folha deu o furo.",,,,1230540119184199680,https://twitter.com/giseledapiedade/status/1230540119184199680
2020-02-20 17:09:42,Marcos54342647,gleisi,0,0,0,"kkkk.... já deu o furo hoje...",,,,1230540039702142977,https://twitter.com/Marcos54342647/status/1230540039702142977
2020-02-20 17:09:11,PauloCdaSilvaF1,leandroruschel,0,0,0,"Já! Adivinha quem deu o Furo?",,,,1230539909271883776,https://twitter.com/PauloCdaSilvaF1/status/1230539909271883776
2020-02-20 17:07:38,KerolyndaSilva2,Estadao,0,0,0,"Essa imagem dele mostra o tamanho da rola que entro na prostituta que trabalha com jornalismo que deu o furo",,,,1230539519654580226,https://twitter.com/KerolyndaSilva2/status/1230539519654580226
2020-02-20 16:58:18,JorgeFe13511568,BolsonaroSP,0,0,0,"Logo o carluxo dando o furo?? Kkkkkkkkkkkk Deu certinho o Marketing!!! Kkkkkkkkkkkk",,,,1230537172865863680,https://twitter.com/JorgeFe13511568/status/1230537172865863680
2020-02-20 16:54:16,EmiliodeAndrade,,0,0,0,"#panico Josias é verdade que Vera deu um furo?",,,#panico,1230536154061189120,https://twitter.com/EmiliodeAndrade/status/1230536154061189120
2020-02-20 16:47:40,EuLasque,KennedyAlencar,0,0,0,"OK, AGORA SENTA LÁ!",,,,1230534496530948096,https://twitter.com/EuLasque/status/1230534496530948096
2020-02-20 16:44:55,thaaiscaixeta,,1,0,0,"Jayme me deu uma perfuração no nariz de presente Eu furo hoje ou só depois do carnaval?",,,,1230533803015274499,https://twitter.com/thaaiscaixeta/status/1230533803015274499
2020-02-20 16:35:48,ilysimaria,itsannalu,0,0,0,"mano o maior furo q deu que o dan era a gg foi quando a serena mandou msg p gossip falando p se encontrarem no bar e o dan apareceu ali ",,,,1230531506927546369,https://twitter.com/ilysimaria/status/1230531506927546369
2020-02-20 16:33:07,EuLasque,jandira_feghali,1,0,1,"TEU CU",,,,1230530833334853636,https://twitter.com/EuLasque/status/1230530833334853636
2020-02-20 16:29:40,EuLasque,CarlosBolsonaro,0,0,0,"NA CARA NAUM!!",,,,1230529965894119424,https://twitter.com/EuLasque/status/1230529965894119424
2020-02-20 16:29:27,EuLasque,CarlosBolsonaro,0,0,0,"NA CARA NAUM !",,,,1230529912219590657,https://twitter.com/EuLasque/status/1230529912219590657
2020-02-20 16:24:27,edusoares69,mjandrade,0,0,1,"Deu o furo sem duplo sentido??? Pode isso Arnaldo?",,,,1230528654402293761,https://twitter.com/edusoares69/status/1230528654402293761
2020-02-20 16:23:25,JoostVerkaik_,fegrisch,1,1,3,"Como é que uma poha dessa tem a conta verificada? Deu o Furo alguém que trabalha no twitter? ",,,,1230528390924570625,https://twitter.com/JoostVerkaik_/status/1230528390924570625
2020-02-20 16:22:34,ejllopes,OsvladPereira,0,0,0,"Está mulher vaga.......da é pior que que deu o furo !",,,,1230528178160095232,https://twitter.com/ejllopes/status/1230528178160095232
2020-02-20 16:19:38,lobodel,dimacgarcia,0,0,0,"A betoneira era só pra esmagar os grevistas né o múmia do botox? @GloboNews vão se fuder, se deem por satisfeito pelos furos q o cid deu pra vcs, pois aquele furo ora derrubar o Pr não rolou e nem vai talkey? Hahaha",,@GloboNews,,1230527438393925636,https://twitter.com/lobodel/status/1230527438393925636
2020-02-20 16:18:45,FuradaPatricia,taoquei1,0,0,0,"êita, quem deu esse furo ai?",,,,1230527219023437824,https://twitter.com/FuradaPatricia/status/1230527219023437824
2020-02-20 16:15:30,Alca123,camposmello,0,2,5,"O furo parece que não deu certo ",,,,1230526398911143939,https://twitter.com/Alca123/status/1230526398911143939
