;Tweets;ID
0;pessoa assiste programa colega deu nota 1o mao nota furo noticia credito depende profissional amigo pessoal nao pensar honestamente acho devemos eticos;1230571550199382019
1;realidade mim tres deu furo maracutaia tentou aprontar;1230570601783480321
2;furo orelha esquerda deu merda tirar brinco bola sangue pele orelha;1230568437748908033
3;bia deu furinho estao furos aguentam trampo aguenta meia hora furo sensacional fala bia ce quica quica gostoso kicis;1230565809098870784
4;plantou fake deu furo;1230565697098403843
5;globolixo deu furo ciro baleado uti;1230565475920183296
6;atirou errou quadrilha petista disseram atentado vida presidente cid deu sorte ruim tiro atirar clavicula pulmao atirar furo reporter nao crime atirar furado;1230565254221877250
7;amiga ansiosamente atras furo sacanear presidente deu desmentiram moca cpmi fake news nao representam mulher brasileira nao exemplos serem seguidos;1230560036348293121
8;jornaleca tambem deu furo;1230557365084098561
9;verinha deu furo hoje;1230555545943175169
10;deu furo varias muitas ocasioes;1230555183496589314
11;deu furo bene respeito;1230553850764877825
12;artistas hipocritas querendo falar respeito presidente referiu jornalista militante caso quis furo quis furo reportagem nao deu respeito reporter presidente nao falou comparado ex presidente;1230552760522657793
13;deu furo falou idiota;1230551916146388994
14;acho deu furo jornalista;1230551002387865600
15;afinal deu furo jornalista bolsonaro general holeno eduardo carlos paulo guedes;1230550174323183616
16;deu furo lute ngm escapa vdd;1230549497362563073
17;democracia bolsonaro nao combinam deu furo;1230548926048153601
18;uai augusto nunes admiro comentario deu furo entendi furo;1230548061832740864
19;adriano nao policial outro jornaleco burro deu furo conhece lo;1230546773724278785
20;baixa nojenta acho nao quantas deu furo;1230545004554313728
21;glenn nao furo reportagem nao deu furo vaza jato patricia campos mello nao deu furo reportagem disparos massa whatsapp interpretou outro sentido acho nao precisa psicologo;1230544466282459137
22;alguem informar jornalista rolha sp deu furo confusao cid gomes;1230544074685501440
23;deu martelo foice furo;1230542377502302209
24;acho jornalista nao deu furo direito;1230541942246793216
25;porteiro confirmou jornalista folha deu furo;1230540119184199680
26;deu furo hoje;1230540039702142977
27;adivinha deu furo;1230539909271883776
28;imagem mostra tamanho rola entro prostituta trabalha jornalismo deu furo;1230539519654580226
29;carluxo dando furo deu certinho marketing;1230537172865863680
30;josias verdade vera deu furo;1230536154061189120
31;ok senta;1230534496530948096
32;jayme deu perfuracao nariz presente furo hoje carnaval;1230533803015274499
33;mano furo deu dan gg serena mandou msg gossip falando encontrarem bar dan apareceu;1230531506927546369
34;cu;1230530833334853636
35;naum;1230529965894119424
36;naum;1230529912219590657
37;deu furo duplo sentido arnaldo;1230528654402293761
38;poha conta verificada deu furo alguem trabalha twitter;1230528390924570625
39;mulher vaga da pior deu furo;1230528178160095232
40;betoneira esmagar grevistas ne mumia botox vao fuder deem satisfeito furos cid deu furo derrubar pr nao rolou talkey;1230527438393925636
41;eita deu furo;1230527219023437824
42;furo nao deu certo;1230526398911143939
43;cade furo bala deu ordem levar retroescavadeira irmao prefeito cidade premeditado arca dolo tiro hospital irma medica pq camisetas amarelas;1230524350148812802
44;chegar tony cegas falar deu furo alias parada furo dando falar;1230522989684428802
45;senador dpvat deu furo hoje canalha;1230522961091842054
46;furo deu funcionarios fantasma top;1230522735085965316
47;perdeu respeito publica mentira comprovando nao adianta chorar deu furo;1230521907499368449
48;puxa deu furo;1230521698417553409
49;estao doentes ganancia nao discernimento nada quis furo traducao quis furo mim nao deu certo historia virou piada pq acefalos estao preocupados descobrir verdades;1230521695460524034
50;deu furo reportagem importante cria vergonha senhora adora novinho;1230521606948171779
51;risada quantas jornalista militante deu furo;1230521387963555840
52;etica principios deu furo hoje;1230521003773702144
53;deu furo vera;1230520208206565376
54;deu furo;1230518800254107648
55;deu furo caso retroescavadeira;1230518336552931331
56;deu furo;1230517866304344066
57;deu furo hoje;1230517549286281217
58;deu furo conseguir noticia neh tb nao burro sexo troca olha videos debil alan santos insinuando prostituta nao;1230516484654469120
59;torce pano chao vidro tao deu furo tao dedo vim correndo amostrar pai ficou maluco saiu sangrando casa;1230516402903306241
60;andre deu furo acredito;1230515408236634112
61;bomba cu;1230515299973246977
62;cu;1230515183535173632
63;zeca vc esquerda falo hass bolsonaro comentou isto nso crime entao tdo deveria preso nao moral ok jornslista uso corpo conseguir ok deu errado acabo nao conseguiu furo;1230513546380947456
64;deu algum furo hj ira depor cpmi fakenews;1230512260856061952
65;deu furo hj;1230512045294080003
66;desconfio deu algum furo bbc londres uuiii meda;1230511929761857536
67;assista video nao deu furo deu furo nao quis piada;1230511736744267779
68;opiniao motorista uber falou deu furo porem materia mentirosa omitiu crimes pt disse deveria presa ajudar fraudar interferir eleicoes crime seguranca nacional etc motorista uber falando furo acho fofoca;1230511084500668416
69;premio deu furo jornaleco canhotos eca;1230510373524115456
70;falar pata deu furo estupro amassar policias greve ilegal aceitavel;1230509412479098882
71;atentado democracia jornalista deu furo democracia plena petrolao mensalao fraudes fiscais fraudes fundos pensao gamecorp triplex atibaia cacas suecos vagina nao transforma fascista humano retroescavadeira manifestante;1230509334750224384
72;abro facebook bolsonaro falou gesto ignorou vou pro twitter bolsonaro deu banana falou furo etc ligo radio bolsonaro desrespeitou xingou tv bolsonaro mimimi mimimi mimimi porra comecar roubar sossego;1230509082039267328
73;amante ramos tebet deu furo entende;1230508186802757640
74;medo ne pata reportagem eleicoes nao sra disse deu furo diferente;1230506987642871808
75;viiixiii fonte deu furo falha paulo;1230506534746103810
76;cuidando fibrose deu furo tragus paguei doida furei nao cuidei porem paciencia esperar resultado;1230505622229192711
77;eita vivas jornalismo chamar jornalismo alias ficou evidente cpmi fakes news furo dado jornalista fatos nao passou falso destinado favorecer bandido deu regua compasso;1230504202960613376
78;deu furo nao corre atras dias horas mentir presidente horas piada tornou abusiva pq acham liberdade imprensa;1230504128536829952
79;deu furo nao;1230503271191715844
80;deu furo;1230502707024334848
81;filho vergonha lixo pessoa;1230502014603481088
82;furo nariz nao deu certo;1230501389102657536
83;deu desistir role muitas chances saio 1x fudido saio 2x estranho saio 3x estranho saio 4x estranho eai finalmente pulo furo nao nao mim neah;1230501110416379905
84;engracado furo deu louca show;1230500937078386688
85;deu sorte ficou recado furo;1230497053534490624
86;cpi comprovado realmente deu furo reportagem mentirosa candidato presidente;1230492776674054146
87;serio indicios existem mesma maneira audios pilantra glenn reporter deu furo;1230491611131502592
88;vagabunda deu furo irmao cangaceiro vagabunda chegou;1230491136390782977
89;playmobil deu furo aecio;1230490990361837570
90;vbolsonaro deu alguma baixaria hoje petralhas porem furo garotos;1230490269436514304
91;maluca falou bolsonaro deu tiro ciro gomes mirim leitoa confirmou pata furo denunciou foia;1230487957053870080
92;pronto deu furo hj dormir jornalismo ridiculo brasil ai pau lombo destes jornalistas contribui pais melhor ficam mimimi;1230487654908731392
93;normalidade decoro liturgia disser jornalista tentou criminosamente interferir eleicao deu furo reportagem cacado sofre impeachment;1230487460158853120
94;deu xerecard quis furo aguenta;1230487211482718208
95;deu furo tambem retroescavadeira;1230485995059122176
96;mudanca imprensa brasileira sai defender jornalista deu furo espalhou mentiras entra passar pano politico tentou atropelar grevista retroescavadeira;1230485867438977024
97;furo deu hoje;1230484930758631424
98;jornalista deu furo reportagem retroescavadeira passar tambem mst;1230483898091569159
99;monopolizar furo nao salutar epoca carnaval jean willys nao curtiu recorde ninguem deu furo;1230483082165280781
100;deu furo serio;1230482907682213888
101;queria furo deu ruim;1230482694242553858
102;pronto deu outro furo parabens;1230480542992302080
103;tava contando amigo emprestar mala viajar deu furo;1230478632826609665
104;jornalista nao deu furo;1230477416864342016
105;deu furo;1230474566658596864
106;ministros stf deputados senadores entender furo jornalistico deu conquista brasileiros ano 2018 tirando corruptos governo federal brasileiros nao admitimos corruptos;1230474057994440704
107;jornalista deu furo;1230474031045935105
108;mudanca imprensa brasileira sai defender jornalista deu furo espalhou mentiras entra passar pano politico tentou atropelar grevistas retroescavadeira sentimentos retroescavadeira desejo volte operar rapido;1230473088053268480
109;virgem futil deu furo;1230473003328294912
110;mostrem furo bala camiseta irma medica recebeu hospital pq colocaram camisetas amarelas deu ordem levar retroescavadeira assumiu dolo matar;1230472684674351104
111;quiseram furo deram sera continuamente patifaria razao pedido segredo mutreta nao deu certo brasileiros sangue puro atentos parabens jovem senhora lindissima casorio receba bencaos paz;1230472485503733760
112;tambem deu furo reportagem;1230472426401812481
113;falar jornalista tentou manipular eleicao presidencial dizendo empresarios pagaram disparos whatsapp bolsonaro deu furo autoritarismo invadir quartel retroescavadeira estao loucos;1230471957621231618
114;verdade pergunta retratar junto jornalista foca deu furo reportagem;1230471309030838283
115;deu furo;1230471102125813760
116;mudanca imprensa brasileira sai defender jornalista deu furo espalhou mentiras entra passar pano politico tentou atropelar grevista retroescavadeira;1230471018373959682
117;quantas deu furo carinha vender mae furo;1230469336223100928
118;deu furo folha jornalista folha;1230468200091045891
119;deu furo hoje;1230468133078650881
120;nao atiraram nao morrer;1230467092698292224
121;cala boca veio senil;1230466926528409602
122;bene cuidado daqui deu furo nela;1230466159830585344
123;fila foda jornalista deu furo;1230466133574213632
124;deu furo;1230464712380493829
125;leve sensacao tambem furo deu furo conheco algum jornal acho;1230462690029703170
126;afinal deu furo nao;1230462513424273409
127;hans river denuncia detalhes deu jornalista petista queria furo falso troca sexo culpado presidente orgaos protestaram puxadinhos pt foia globo lixo;1230460466910068736
128;jornalista deu furo impitimaaaaa senador esquerda jogou retro errr estilo beligerante papapa culpa bolsonaro;1230458034079649793
129;jesus gay liberdade expressao humor jornalista deu furo reportagem fake nao machismo misoginia;1230457982691004416
130;imprensa tenta associar msm culpar pr ruim acontece furo vera daqui ceara soube pr legou diretamente policiais greve deu ordens direta atirar cid gomes publicar;1230457954450726917
131;camiseta nao furo bala retroescavadeira levada intencao premeditado arca dolo irma medica recebeu hospital imprensa canalha deu jeito jogar culpa bolsonaro;1230457799127306240
132;verdade mandaram furo deu melhor mentira verdade fato fake importava destruir eleicao retirou algum jornalista premio legitimo posa moca ofendida;1230457042470658048
133;chateada deu furo ne;1230456148270166017
134;jornalista deu furo impitimaaaaa senador esquerda jogou retro errr estilo beligerante papapa culpa bolsonaro;1230455264291192834
135;foda deu furo furo hein;1230455125333823488
136;deu furo feia;1230452944987971590
137;carreira jornalistica quantas deu furo ficar vitimizacao direcionada cresca;1230450913044783106
138;servico deu piorada consideravel ultimos dias;1230450601575747586
139;deu furo hoje;1230450268036313089
140;esquerdista viuvo mula motivo guerra mundial reporter devido fama repentina posar play boi deu furo deu;1230449332404596736
141;fraquejada deu furo hoje comunismo adora alguem fala nao estupra feia;1230447980706172928
142;globo deixando noticia muuuuita pimenta reporter desconhecida entao dado furo deu tempao;1230445158371676163
143;cidi gomes quis furo jornalista levou chumbo cidi queria leptop pm deu mau;1230444066082557953
144;tiazinha pt deu furo pro outro jornalista danada;1230442535442620418
145;jornalista deu furo participacao pr;1230440294971211777
146;deu furo hoje bolsonarismo;1230440294325288961
147;acabei comentar caso jornalista folha amiga trabalho ficamos triste comentario bolsonaro seguida perguntei amiga dado furo deu tapa nao entendi;1230437086559457281
148;deu furo;1230435824598122497
149;pergunta nao falar deu furo nao;1230433681912795136
150;antecipou deu furo;1230433670546305024
151;adoro governo conseguiu trazer volta bons tempos serie vemos embates bobos engracados varias aereas alguma lava sovaco deu furo constantino nao leve serio zueira hahahahaba;1230432679444860928
152;deu furo jornalistazinha escrupulos atrapalhar governo furo;1230432341094551552
153;jornalista queria furo materia deu tiro pe aonde furo acabou;1230431202236149760
154;poxa vera deu furo;1230427559659286528
155;chefe hans confirmou patricia deu furo;1230427467141259264
156;furo deu processar tambem jornalistinha categoria;1230426677626507264
157;deu furo nao deu furo;1230426544985792514
158;querer furo reportagem deu merda;1230426118735515648
159;pneu carro furo deu ea coroa trocando;1230424661235814400
160;deus jornalista comprovadamente deu furo falso disparos whatsapp continua impune protegida centrao esquerdalha imprensa suja antagonistas embarcaram mesma canoa furada sujos;1230424491341336576
161;deu furo;1230423229317165057
162;deu furo hoje verinha;1230422847576776704
