username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Adilson1507,2018-10-22 20:58,16,299,"povo falava ligacao pt nunca acabado , ai prova ! antes ficado neutra sempre ficou ! voto critico conversa pra boi dormir ! brasileiros jamais esqueceremos ! # haddadnaoecristao",,,#,"1,05452248668621E+018",https://twitter.com/Adilson1507/status/1054522486686208001
Silas_Pereiraa,2018-10-22 20:55,91,214,# haddadnaoecristao vizinhos ptistas dia 28 .,,,#,"1,05452157147224E+018",https://twitter.com/Silas_Pereiraa/status/1054521571472236545
miranelles,2018-10-22 20:51,1,1,"# bolsonarosim ! # nasruascombolsonaro is clear sign of people wants him , it isnt sad . pic.twitter.com/fbpwztx3r",,,# #,"1,05452055379572E+018",https://twitter.com/miranelles/status/1054520553795715073
CarlosBolsonaro,2018-10-22 20:45,6064,21833,"escreve livro chamado defesa socialismo ser amoral pedir confianca cristaos ! pt ja disse faria diabo vencer eleicoes estao fazendo , resultado maos brasileiro deus ! # haddadnaoecristao",,,#,"1,05451920054967E+018",https://twitter.com/CarlosBolsonaro/status/1054519200549666816
monicaodovale,2018-10-22 20:41,1101,2701,"favoravel tortura , sabe disso- bolsonaro cristao prega tortura jesus cristo morreu sendo torturado cruz # haddadnaoecristao",,,#,"1,05451803216752E+018",https://twitter.com/monicaodovale/status/1054518032167518208
FlavioMRenan,2018-10-22 20:31,78,151,deixando risada eleitores bolsonaretes otarios ... # haddadnaoecristao # bolsonaroanticristo # limpezanostf # frenteamplapelademocracia # segundadetremurasdv,,,# # # # #,"1,05451562100474E+018",https://twitter.com/FlavioMRenan/status/1054515621004742661
_Colombo__,2018-10-22 20:24,0,2,( g ) old # b17,,,#,"1,05451389772883E+018",https://twitter.com/_Colombo__/status/1054513897728827392
JonhR16,2018-10-22 20:23,0,0,@ lobaoeletrico rei tags # haddadnaoecristao,,@,#,"1,05451358250598E+018",https://twitter.com/JonhR16/status/1054513582505975808
VRetorno,2018-10-22 20:22,2178,4840,haddad passa mal desmaia via publica nordeste . # haddadnaoecristao,,,#,"1,05451338742882E+018",https://twitter.com/VRetorno/status/1054513387428818944
Various__Videos,2018-10-22 20:18,2,3,open twitter and see # haddadnaoecristao trending worldwide . they think bolsonaro is ? ! https : //bit.ly/2ys5xxn # haddadnaoecristao,,,# #,"1,05451236965165E+018",https://twitter.com/Various__Videos/status/1054512369651646464
si_cid,2018-10-22 20:13,270,437,olha tambem falsihaddad ! # haddadmente # haddadnaoecristao,,,# #,"1,05451105896934E+018",https://twitter.com/si_cid/status/1054511058969341952
RejanePaiva,2018-10-22 20:10,672,1007,"pt forma desonesta conseguir votos continua atacando . sao sujos , agora vejam pra tipo eleitor panfletos estao destinados . # haddadnaoecristao vez fabrica fake news conseguir votos . pode @ tsejusbr ? @ jairbolsonaro",,@ @,#,"1,05451028470088E+018",https://twitter.com/RejanePaiva/status/1054510284700876800
SocDemNow,2018-10-22 20:00,3,18,"# haddadnaoecristao < -- in what way is bolsonaro , who hates women , gays , blacks , the poor , and supports torture and mass murder cristao ? ? ? brasileiros ! gente ! you are being manipulated . it\s clear day from outside of your country . pic.twitter.com/6ak7gfhg9n",,,#,"1,05450773287796E+018",https://twitter.com/SocDemNow/status/1054507732877959168
ClaudiaMMouraa,2018-10-22 19:59,70,550,vai ser quantas vezes ? vergonha resume ! # haddadnaoecristao,,,#,"1,05450758873643E+018",https://twitter.com/ClaudiaMMouraa/status/1054507588736430080
MathDrado,2018-10-22 19:52,726,2143,js hipocritas # bolsonaroanticristo # haddadnaoecristao,,,# #,"1,05450588810974E+018",https://twitter.com/MathDrado/status/1054505888109735941
_Marcye,2018-10-22 19:42,1,0,# haddadnaoecristao latim : clube bilderberg,,,#,"1,05450320177552E+018",https://twitter.com/_Marcye/status/1054503201775517698
amarildojsilva,2018-10-22 19:36,2303,6643,fara passeio curitiba . jean willis ta camara federal ja tse validou votos prefeito marica rj . wellington quaqua # haddadnaoecristao,,,#,"1,05450184708658E+018",https://twitter.com/amarildojsilva/status/1054501847086575617
tvesries,2018-10-22 19:34,279,733,olsominions usando tag tipo defendem cara apoia tortura # haddadnaoecristao,,,#,"1,05450127861158E+018",https://twitter.com/tvesries/status/1054501278611578880
goulart_lenita,2018-10-22 19:31,1336,3144,"# haddadnaoecristao hora fazer foto fake , respeita assento preferencial , pra idosos deficientes fisicos !",,,#,"1,05450050641929E+018",https://twitter.com/goulart_lenita/status/1054500506419294210
JustCarol10,2018-10-22 19:30,882,1538,# haddadnaoecristao bora chutar principios pra fazer graca pra igreja . esqueceu estudar antes .,,,#,"1,0545001691805E+018",https://twitter.com/JustCarol10/status/1054500169180504064
Kanekury1,2018-10-23 20:11,74,156,petista afirma candidato nao foge debate . afirmo candidato nao foge policia . # b17 # atentadofakedopt,,,# #,"1,05487294993999E+018",https://twitter.com/Kanekury1/status/1054872949939994625
folha,2018-10-23 18:15,221,1401,"enfim sos | # haddad13 , # bolsonaro17 , resolveram colocar politica ensaio pre-casamento # folha # eleicoes2018 http : //bit.ly/2pp6jot",,,# # # #,"1,05484365626218E+018",https://twitter.com/folha/status/1054843656262184960
renatodiasobom,2018-10-23 18:11,125,207,general mourao desmascara mentira gravissima haddad . ate vamos aturar mentiras vermelhinhos ? ? ? # ptnao # bolsonaropresidente17,,,# #,"1,05484277721587E+018",https://twitter.com/renatodiasobom/status/1054842777215868929
RosannaBlessed,2018-10-23 16:50,14,69,# haddadnaoecristao # atentadofakedopt,,,# #,"1,0548223920512E+018",https://twitter.com/RosannaBlessed/status/1054822392051195905
BR17MG2018,2018-10-23 16:31,1782,3168,desmascarado hora . candidato corrupto q so sabe espalhar fake news . poste mentiroso # atentadofakedopt # haddadnaoecristao # haddadmente,,,# # #,"1,05481758064767E+018",https://twitter.com/BR17MG2018/status/1054817580647673856
PatrickD4511,2018-10-23 16:18,190,662,hoje # doencasraras pauta importante encontro futuro presidente # brasil @ jairbolsonaro vestiu camisa # somostodosraros # bolsonaropresidente # bolsonaro # bolsonaro17 # somostodosbolsonaro # umraronocongresso patrick dorneles partido brasil,,@,# # # # # # # #,"1,05481426595214E+018",https://twitter.com/PatrickD4511/status/1054814265952137217
BotsBozo,2018-10-23 15:56,8,13,desafio lancado ! descubra @ bozobots redor ! basta publicar qualquer coisa hashtags pra fazer robos curtirem imagina espalhar verdade sobre bolsonaro usando robos ? # bolsonaro # bolsonaro2018 # bolsonaropresidente # mito # bolsonaroopressor # bolsonaro17,,@BozoBots,# # # # # #,"1,05480886127686E+018",https://twitter.com/BotsBozo/status/1054808861276860417
BR17MG2018,2018-10-23 15:32,258,560,"conhecereis verdade verdade libertara . poste dando , conhecedor palavra . quer enganar , verdadeira face , aparece . # haddadnaoecristao # atentadofakedopt",,,# #,"1,0548028310211E+018",https://twitter.com/BR17MG2018/status/1054802831021096961
Marlos_Marliere,2018-10-23 15:27,725,1607,"enquanto # haddadefefeca contava historias pra boi dormir # globoelixo , @ jairbolsonaro reunia casa alguns deputados federais eleitos , discutir situacao caotica seguranca publica brasileira ! # atentadofakedopt # haddadnaoecristao",,@,# # # #,"1,05480152604313E+018",https://twitter.com/Marlos_Marliere/status/1054801526043131904
gillyworks,2018-10-23 14:50,155,151,"# mulherescombolsonaro , voces estao atentas ? vai tomar conta filhos voce pro trabalho ? merenda ? vai educar filhos ? # b17 # bolsonaroamordobrasilhttps : //glo.bo/2ot1qbg",,,# # #,"1,05479221413457E+018",https://twitter.com/gillyworks/status/1054792214134566913
